epoch,step,train_loss_epoch,train_loss_step,val/mse,val/r2,val_loss
0,49,,0.33212006092071533,,,
0,56,,,0.3377372920513153,0.6789207458496094,0.3377372920513153
0,56,0.44938361644744873,,,,
1,99,,0.22267141938209534,,,
1,113,,,0.6025378108024597,0.4271808862686157,0.6025378108024597
1,113,0.2565000355243683,,,,
2,149,,0.2452852874994278,,,
2,170,,,1.6978048086166382,-0.6140646934509277,1.6978048086166382
2,170,0.2671688199043274,,,,
3,199,,0.20318885147571564,,,
3,227,,,0.630724310874939,0.4003846049308777,0.630724310874939
3,227,0.21893469989299774,,,,
4,249,,0.1939486712217331,,,
4,284,,,0.24979031085968018,0.7625299692153931,0.24979031085968018
4,284,0.21523147821426392,,,,
5,299,,0.21475443243980408,,,
5,341,,,0.4052291512489319,0.614757776260376,0.4052291512489319
5,341,0.18943920731544495,,,,
6,349,,0.21586936712265015,,,
6,398,,,0.23334595561027527,0.7781632542610168,0.23334595561027527
6,398,0.18866251409053802,,,,
7,399,,0.19295071065425873,,,
7,449,,0.1472296118736267,,,
7,455,,,0.30482494831085205,0.7102097868919373,0.30482494831085205
7,455,0.1811445951461792,,,,
8,499,,0.2006882131099701,,,
8,512,,,0.21883347630500793,0.7919599413871765,0.21883347630500793
8,512,0.17842400074005127,,,,
9,549,,0.14871934056282043,,,
9,569,,,0.178639218211174,0.8301717042922974,0.178639218211174
9,569,0.16113248467445374,,,,
10,599,,0.12286118417978287,,,
10,626,,,0.18485763669013977,0.8242599964141846,0.18485763669013977
10,626,0.15341731905937195,,,,
11,649,,0.16879597306251526,,,
11,683,,,0.230497807264328,0.7808709144592285,0.230497807264328
11,683,0.1459985375404358,,,,
12,699,,0.1299971044063568,,,
12,740,,,0.16208121180534363,0.8459130525588989,0.16208121180534363
12,740,0.14077581465244293,,,,
13,749,,0.11170312762260437,,,
13,797,,,0.17366503179073334,0.8349005579948425,0.17366503179073334
13,797,0.1329863965511322,,,,
14,799,,0.10401548445224762,,,
14,849,,0.1130833700299263,,,
14,854,,,0.1587594449520111,0.8490709662437439,0.1587594449520111
14,854,0.12828326225280762,,,,
15,899,,0.13935016095638275,,,
15,911,,,0.17919890582561493,0.8296396732330322,0.17919890582561493
15,911,0.12213963270187378,,,,
16,949,,0.10779047012329102,,,
16,968,,,0.16778822243213654,0.8404874801635742,0.16778822243213654
16,968,0.12730000913143158,,,,
17,999,,0.08969122171401978,,,
17,1025,,,0.16326016187667847,0.8447922468185425,0.16326016187667847
17,1025,0.11798770725727081,,,,
18,1049,,0.1484164297580719,,,
18,1082,,,0.17387500405311584,0.8347009420394897,0.17387500405311584
18,1082,0.11139426380395889,,,,
19,1099,,0.14413443207740784,,,
19,1139,,,0.1594247967004776,0.8484384417533875,0.1594247967004776
19,1139,0.11429163813591003,,,,
20,1149,,0.13412900269031525,,,
20,1196,,,0.2162656933069229,0.7944010496139526,0.2162656933069229
20,1196,0.1264309585094452,,,,
21,1199,,0.10212995857000351,,,
21,1249,,0.09519876539707184,,,
21,1253,,,0.15145161747932434,0.8560183644294739,0.15145161747932434
21,1253,0.12348836660385132,,,,
22,1299,,0.10723468661308289,,,
22,1310,,,0.1514545977115631,0.8560155034065247,0.1514545977115631
22,1310,0.11081492155790329,,,,
23,1349,,0.1308581680059433,,,
23,1367,,,0.16136281192302704,0.8465960025787354,0.16136281192302704
23,1367,0.10885510593652725,,,,
24,1399,,0.08698853850364685,,,
24,1424,,,0.15140792727470398,0.8560599088668823,0.15140792727470398
24,1424,0.10237596929073334,,,,
25,1449,,0.16058892011642456,,,
25,1481,,,0.14994965493679047,0.8574462532997131,0.14994965493679047
25,1481,0.10032599419355392,,,,
26,1499,,0.06786410510540009,,,
26,1538,,,0.14925330877304077,0.8581082224845886,0.14925330877304077
26,1538,0.09943974763154984,,,,
27,1549,,0.13037380576133728,,,
27,1595,,,0.16319985687732697,0.8448495864868164,0.16319985687732697
27,1595,0.09165529906749725,,,,
28,1599,,0.08597863465547562,,,
28,1649,,0.09427234530448914,,,
28,1652,,,0.15574559569358826,0.8519361615180969,0.15574559569358826
28,1652,0.09187095612287521,,,,
29,1699,,0.07085339725017548,,,
29,1709,,,0.15088680386543274,0.8565553426742554,0.15088680386543274
29,1709,0.08993714302778244,,,,
30,1749,,0.11917664855718613,,,
30,1766,,,0.1512581706047058,0.856202244758606,0.1512581706047058
30,1766,0.09112466871738434,,,,
31,1799,,0.09345260262489319,,,
31,1823,,,0.15181374549865723,0.8556740880012512,0.15181374549865723
31,1823,0.08965902775526047,,,,
32,1849,,0.07061156630516052,,,
32,1880,,,0.15221592783927917,0.8552917242050171,0.15221592783927917
32,1880,0.08563701063394547,,,,
33,1899,,0.058169908821582794,,,
33,1937,,,0.1519169807434082,0.8555759191513062,0.1519169807434082
33,1937,0.08394286781549454,,,,
34,1949,,0.05874340236186981,,,
34,1994,,,0.1489580273628235,0.8583889603614807,0.1489580273628235
34,1994,0.08332391828298569,,,,
35,1999,,0.10142502933740616,,,
35,2049,,0.05749673768877983,,,
35,2051,,,0.1509915143251419,0.8564557433128357,0.1509915143251419
35,2051,0.08070769906044006,,,,
36,2099,,0.08048198372125626,,,
36,2108,,,0.1481553614139557,0.8591520190238953,0.1481553614139557
36,2108,0.07857195287942886,,,,
37,2149,,0.05910954624414444,,,
37,2165,,,0.15157267451286316,0.8559032678604126,0.15157267451286316
37,2165,0.0783693939447403,,,,
38,2199,,0.0776824876666069,,,
38,2222,,,0.1497955322265625,0.857592761516571,0.1497955322265625
38,2222,0.07734838873147964,,,,
39,2249,,0.06065751984715462,,,
39,2279,,,0.1504986435174942,0.856924295425415,0.1504986435174942
39,2279,0.07809746265411377,,,,
40,2280,,,0.1504986435174942,0.856924295425415,0.1504986435174942
